event_name,bracket_stage,match_id,match_datetime,map_name,team1_name,team1_score,team2_name,team2_score,player_name,player_team,agent_played,rating_2_0,ACS,KDRatio,KAST_pct,ADR,total_kills,total_deaths,total_assists,game_type
LeStream x BMW: The 2 Gran Coupé,"Tournament: 
						Grand Final",603,"Wednesday, May 27th 11:30 AM PDT",Unknown,Unknown,,Unknown,,Ex6TenZ,SFCS,,,0.0,,,,0.0,0.0,0.0,Playoffs
LeStream x BMW: The 2 Gran Coupé,"Tournament: 
						Grand Final",603,"Wednesday, May 27th 11:30 AM PDT",Bind,StartedFromCS,13.0,BlackBelts,6.0,Ex6TenZ,SFCS,,,0.0,,,,0.0,0.0,0.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Semifinals",19078,"Wednesday, May 26th 12:30 PM PDT",Icebox,Sentinels,13.0,Team Vikings,7.0,TenZ,SEN,reyna,1.24,266.0,1.462,,141.0,19.0,13.0,4.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Semifinals",19078,"Wednesday, May 26th 12:30 PM PDT",Haven,Sentinels,13.0,Team Vikings,6.0,TenZ,SEN,jett,1.59,309.0,2.333,,184.0,21.0,9.0,2.0,Playoffs
Challengers 2025: North America ACE Stage 2,"Playoffs: 
						Lower Round 1",486230,"Wednesday, May 21st 1:00 PM PDT",Split,YFP,13.0,Cubert Academy,11.0,TenZ,CUBE,yoru,1.03,236.0,1.25,,139.0,20.0,16.0,5.0,Playoffs
Challengers 2025: North America ACE Stage 2,"Playoffs: 
						Lower Round 1",486230,"Wednesday, May 21st 1:00 PM PDT",Lotus,YFP,13.0,Cubert Academy,4.0,TenZ,CUBE,yoru,0.84,204.0,0.75,,145.0,12.0,16.0,3.0,Playoffs
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 3",510435,"Wednesday, July 30th 3:00 AM PDT",Unknown,Unknown,,Unknown,,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 3",510435,"Wednesday, July 30th 3:00 AM PDT",TBD,FENNEL,0.0,RIDDLE ORDER,0.0,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 2",510425,"Wednesday, July 23rd 9:00 PM PDT",Unknown,Unknown,,Unknown,,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 2",510425,"Wednesday, July 23rd 9:00 PM PDT",TBD,FENNEL,0.0,REJECT,0.0,MrTenzouEz,FL,,,,,,,,,,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28719,"Wednesday, July 21st 9:10 PM PDT",Ascent,FENNEL,13.0,Gaming Team SELECTOR,8.0,MrTenzouEz,GTS,skye,0.79,142.0,0.688,,94.0,11.0,16.0,4.0,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28719,"Wednesday, July 21st 9:10 PM PDT",Bind,FENNEL,7.0,Gaming Team SELECTOR,13.0,MrTenzouEz,GTS,skye,1.37,278.0,1.583,,175.0,19.0,12.0,7.0,Regular Season
Rise of Titans,"Invite Stage: 
						Grand Final",253,"Wednesday, July 1st 10:00 AM PDT",Haven,StartedFromCS,6.0,FABRIKEN,13.0,Ex6TenZ,SFCS,brimstone,,106.0,0.333,,,5.0,15.0,6.0,Playoffs
Rise of Titans,"Invite Stage: 
						Grand Final",253,"Wednesday, July 1st 10:00 AM PDT",Bind,StartedFromCS,8.0,FABRIKEN,13.0,Ex6TenZ,SFCS,brimstone,,112.0,0.389,,,7.0,18.0,3.0,Playoffs
Champions Tour 2024: Americas Stage 2,"Playoffs: 
						Knockout Round",371267,"Wednesday, July 17th 5:30 PM PDT",Haven,Sentinels,7.0,100 Thieves,13.0,TenZ,SEN,omen,1.11,254.0,1.067,,162.0,16.0,15.0,6.0,Playoffs
Champions Tour 2024: Americas Stage 2,"Playoffs: 
						Knockout Round",371267,"Wednesday, July 17th 5:30 PM PDT",Ascent,Sentinels,10.0,100 Thieves,13.0,TenZ,SEN,omen,0.94,206.0,0.882,,133.0,15.0,17.0,10.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Semifinals",438171,"Wednesday, February 12th 1:40 AM PST",Split,FENNEL,8.0,REJECT,13.0,MrTenzouEz,FL,tejo,0.54,142.0,0.556,,101.0,10.0,18.0,4.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Semifinals",438171,"Wednesday, February 12th 1:40 AM PST",Lotus,FENNEL,13.0,REJECT,11.0,MrTenzouEz,FL,fade,1.0,225.0,1.056,,153.0,19.0,18.0,4.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Semifinals",438171,"Wednesday, February 12th 1:40 AM PST",Fracture,FENNEL,10.0,REJECT,13.0,MrTenzouEz,FL,tejo,1.17,279.0,1.294,,172.0,22.0,17.0,3.0,Playoffs
Pop Flash Invitational,"Tournament: 
						Opening (A)",2056,"Wednesday, August 26th 11:25 AM PDT",Split,Gen.G,13.0,Cloud9,8.0,TenZ,C9,reyna,,258.0,1.2,,132.0,18.0,15.0,5.0,Regular Season
Pop Flash Invitational,"Tournament: 
						Opening (A)",2056,"Wednesday, August 26th 11:25 AM PDT",Ascent,Gen.G,5.0,Cloud9,13.0,TenZ,C9,reyna,,333.0,1.769,,201.0,23.0,13.0,5.0,Regular Season
Pop Flash Invitational,"Tournament: 
						Opening (A)",2056,"Wednesday, August 26th 11:25 AM PDT",Bind,Gen.G,6.0,Cloud9,13.0,TenZ,C9,reyna,,272.0,2.0,,171.0,18.0,9.0,4.0,Regular Season
Valorant Champions 2024,"Playoffs: 
						Upper Quarterfinals",378822,"Wednesday, August 14th 1:00 AM PDT",Sunset,DRX,13.0,Sentinels,15.0,TenZ,SEN,omen,1.14,211.0,1.105,,141.0,21.0,19.0,13.0,Playoffs
Valorant Champions 2024,"Playoffs: 
						Upper Quarterfinals",378822,"Wednesday, August 14th 1:00 AM PDT",Haven,DRX,8.0,Sentinels,13.0,TenZ,SEN,omen,0.99,197.0,1.0,,124.0,15.0,15.0,8.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Semifinals",29395,"Wednesday, August 11th 5:05 PM PDT",Icebox,Sentinels,13.0,ENVY,11.0,TenZ,SEN,reyna,1.5,333.0,1.706,,190.0,29.0,17.0,5.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Semifinals",29395,"Wednesday, August 11th 5:05 PM PDT",Haven,Sentinels,13.0,ENVY,11.0,TenZ,SEN,jett,0.81,208.0,0.762,,121.0,16.0,21.0,8.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Quarterfinals",29391,"Wednesday, August 11th 12:00 PM PDT",Breeze,Sentinels,13.0,Rise,3.0,TenZ,SEN,jett,1.14,188.0,1.5,,114.0,12.0,8.0,2.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Quarterfinals",29391,"Wednesday, August 11th 12:00 PM PDT",Ascent,Sentinels,7.0,Rise,13.0,TenZ,SEN,jett,0.59,132.0,0.625,,73.0,10.0,16.0,3.0,Playoffs
Champions Tour North America Stage 3: Challengers Playoffs,"Main Event: 
						Upper Quarterfinals",29391,"Wednesday, August 11th 12:00 PM PDT",Bind,Sentinels,13.0,Rise,4.0,TenZ,SEN,reyna,1.93,339.0,2.333,,211.0,21.0,9.0,8.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Ascent,FENNEL,15.0,CREST GAMING Zst,13.0,MrTenzouEz,CGZ,sova,0.82,144.0,0.778,,97.0,14.0,18.0,6.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Lotus,FENNEL,7.0,CREST GAMING Zst,13.0,MrTenzouEz,CGZ,viper,1.17,213.0,1.154,,147.0,15.0,13.0,5.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Fracture,FENNEL,8.0,CREST GAMING Zst,13.0,MrTenzouEz,CGZ,breach,1.05,197.0,0.933,,123.0,14.0,15.0,13.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Pearl,FENNEL,13.0,CREST GAMING Zst,8.0,MrTenzouEz,CGZ,viper,0.81,161.0,0.75,,102.0,12.0,16.0,8.0,Playoffs
Challengers League Japan: Split 2,"Playoffs: 
						Lower Round 1",207168,"Tuesday, May 9th 8:30 PM PDT",Split,FENNEL,13.0,CREST GAMING Zst,10.0,MrTenzouEz,CGZ,viper,0.83,150.0,0.688,,98.0,11.0,16.0,5.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Quarterfinals",19073,"Tuesday, May 25th 3:05 PM PDT",Icebox,Sentinels,13.0,FNATIC,11.0,TenZ,SEN,reyna,1.18,277.0,1.389,,144.0,25.0,18.0,7.0,Playoffs
Valorant Champions Tour Stage 2: Masters Reykjavík,"Main Event: 
						Upper Quarterfinals",19073,"Tuesday, May 25th 3:05 PM PDT",Haven,Sentinels,13.0,FNATIC,10.0,TenZ,SEN,jett,1.52,316.0,1.5,,197.0,24.0,16.0,8.0,Playoffs
Challengers 2025: North America ACE Stage 2,"Playoffs: 
						Upper Quarterfinals",486225,"Tuesday, May 20th 4:00 PM PDT",Haven,Winthrop University,13.0,Cubert Academy,8.0,TenZ,CUBE,neon,0.82,183.0,0.778,,111.0,14.0,18.0,7.0,Playoffs
Challengers 2025: North America ACE Stage 2,"Playoffs: 
						Upper Quarterfinals",486225,"Tuesday, May 20th 4:00 PM PDT",Lotus,Winthrop University,13.0,Cubert Academy,8.0,TenZ,CUBE,neon,0.83,233.0,0.842,,141.0,16.0,19.0,3.0,Playoffs
Rise of Titans,"Invite Stage: 
						Semifinals",903,"Tuesday, June 30th 8:00 AM PDT",Bind,need more DM,11.0,StartedFromCS,13.0,Ex6TenZ,SFCS,brimstone,,200.0,1.133,,,17.0,15.0,5.0,Playoffs
Rise of Titans,"Invite Stage: 
						Semifinals",903,"Tuesday, June 30th 8:00 AM PDT",Split,need more DM,13.0,StartedFromCS,4.0,Ex6TenZ,SFCS,brimstone,,172.0,0.562,,,9.0,16.0,4.0,Playoffs
Rise of Titans,"Invite Stage: 
						Semifinals",903,"Tuesday, June 30th 8:00 AM PDT",Haven,need more DM,9.0,StartedFromCS,13.0,Ex6TenZ,SFCS,brimstone,,167.0,0.786,,,11.0,14.0,6.0,Playoffs
Challengers League 2024 Japan: Split 2,"Playoffs: 
						Lower Round 1",371656,"Tuesday, July 9th 11:30 PM PDT",Haven,SCARZ,6.0,Murash Gaming,13.0,MrTenzouEz,SZ,sova,1.02,189.0,1.154,,124.0,15.0,13.0,2.0,Playoffs
Challengers League 2024 Japan: Split 2,"Playoffs: 
						Lower Round 1",371656,"Tuesday, July 9th 11:30 PM PDT",Ascent,SCARZ,13.0,Murash Gaming,1.0,MrTenzouEz,SZ,sova,1.46,239.0,3.0,,151.0,15.0,5.0,3.0,Playoffs
Challengers League 2024 Japan: Split 2,"Playoffs: 
						Lower Round 1",371656,"Tuesday, July 9th 11:30 PM PDT",Sunset,SCARZ,11.0,Murash Gaming,13.0,MrTenzouEz,SZ,gekko,1.17,236.0,1.25,,165.0,20.0,16.0,5.0,Playoffs
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 2",510421,"Tuesday, July 22nd 12:00 AM PDT",Unknown,Unknown,,Unknown,,MrTenzouEz,FL,,,,,,,,,,Regular Season
Challengers 2025: Japan Split 3,"Main Stage: 
						Week 2",510421,"Tuesday, July 22nd 12:00 AM PDT",TBD,FENNEL,0.0,ZETA DIVISION Academy,0.0,MrTenzouEz,FL,,,,,,,,,,Regular Season
Champions Tour 2023: Americas Last Chance Qualifier,"Main Event: 
						Lower Round 1",232736,"Tuesday, July 18th 4:05 PM PDT",Fracture,Sentinels,8.0,LEVIATÁN,13.0,TenZ,SEN,kayo,1.15,240.0,1.133,,152.0,17.0,15.0,8.0,Regular Season
Champions Tour 2023: Americas Last Chance Qualifier,"Main Event: 
						Lower Round 1",232736,"Tuesday, July 18th 4:05 PM PDT",Split,Sentinels,4.0,LEVIATÁN,13.0,TenZ,SEN,jett,0.83,177.0,0.667,,118.0,10.0,15.0,3.0,Regular Season
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Quarterfinals",438168,"Tuesday, February 4th 11:00 PM PST",Abyss,IGZIST,4.0,FENNEL,13.0,MrTenzouEz,FL,sova,1.03,196.0,1.3,,148.0,13.0,10.0,1.0,Playoffs
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Quarterfinals",438168,"Tuesday, February 4th 11:00 PM PST",Haven,IGZIST,4.0,FENNEL,13.0,MrTenzouEz,FL,sova,1.65,230.0,2.6,,158.0,13.0,5.0,6.0,Playoffs
Champions Tour Europe Stage 2: Challengers 1,"Main Event: 
						Quarterfinals",14834,"Tuesday, April 6th 8:00 AM PDT",Haven,Acend,13.0,Ninjas in Pyjamas,9.0,Ex6TenZ,NIP,skye,0.94,200.0,0.882,,125.0,15.0,17.0,9.0,Playoffs
Champions Tour Europe Stage 2: Challengers 1,"Main Event: 
						Quarterfinals",14834,"Tuesday, April 6th 8:00 AM PDT",Icebox,Acend,10.0,Ninjas in Pyjamas,13.0,Ex6TenZ,NIP,skye,0.86,205.0,0.85,,121.0,17.0,20.0,7.0,Playoffs
Champions Tour Europe Stage 2: Challengers 1,"Main Event: 
						Quarterfinals",14834,"Tuesday, April 6th 8:00 AM PDT",Bind,Acend,8.0,Ninjas in Pyjamas,13.0,Ex6TenZ,NIP,skye,0.76,129.0,0.714,,66.0,10.0,14.0,2.0,Playoffs
Occitanie Esports 2020,"Main Event: 
						Upper Final",3026,"Thursday, September 24th 11:00 AM PDT",Ascent,FeaFeaFea,4.0,Opportunists,13.0,Ex6TenZ,Fea,omen,,120.0,0.538,,88.0,7.0,13.0,2.0,Playoffs
Occitanie Esports 2020,"Main Event: 
						Upper Final",3026,"Thursday, September 24th 11:00 AM PDT",Haven,FeaFeaFea,13.0,Opportunists,15.0,Ex6TenZ,Fea,omen,,181.0,0.75,,156.0,18.0,24.0,8.0,Playoffs
Red Bull Home Ground #4,"Main Event: 
						Round 1",283090,"Thursday, November 2nd 10:50 PM PDT",Unknown,Unknown,,Unknown,,MrTenzouEz,SZ,skye,0.98,197.0,,,119.0,17.0,17.0,2.0,Regular Season
Champions Tour 2024: Masters Madrid,"Playoffs: 
						Upper Semifinals",312776,"Thursday, March 21st 10:10 AM PDT",Split,Sentinels,13.0,LOUD,4.0,TenZ,SEN,omen,1.42,217.0,1.667,,136.0,15.0,9.0,13.0,Playoffs
Champions Tour 2024: Masters Madrid,"Playoffs: 
						Upper Semifinals",312776,"Thursday, March 21st 10:10 AM PDT",Icebox,Sentinels,12.0,LOUD,14.0,TenZ,SEN,kayo,0.7,168.0,0.609,,103.0,14.0,23.0,18.0,Playoffs
Champions Tour 2024: Masters Madrid,"Playoffs: 
						Upper Semifinals",312776,"Thursday, March 21st 10:10 AM PDT",Sunset,Sentinels,14.0,LOUD,12.0,TenZ,SEN,omen,1.01,207.0,0.9,,136.0,18.0,20.0,10.0,Playoffs
Champions Tour Europe Stage 1: Masters,"Main Event: 
						Winner's (A)",12917,"Thursday, March 18th 9:00 AM PDT",Split,Team Heretics,13.0,Ninjas in Pyjamas,5.0,Ex6TenZ,NIP,breach,,209.0,0.765,,142.0,13.0,17.0,4.0,Regular Season
Champions Tour Europe Stage 1: Masters,"Main Event: 
						Winner's (A)",12917,"Thursday, March 18th 9:00 AM PDT",Bind,Team Heretics,11.0,Ninjas in Pyjamas,13.0,Ex6TenZ,NIP,breach,,248.0,1.333,,145.0,20.0,15.0,10.0,Regular Season
Champions Tour Europe Stage 1: Masters,"Main Event: 
						Winner's (A)",12917,"Thursday, March 18th 9:00 AM PDT",Ascent,Team Heretics,13.0,Ninjas in Pyjamas,6.0,Ex6TenZ,NIP,breach,,138.0,0.533,,92.0,8.0,15.0,5.0,Regular Season
Champions Tour North America Stage 3: Challengers 1,"Main Event: 
						Upper Quarterfinals",25196,"Thursday, July 8th 4:45 PM PDT",Bind,Sentinels,11.0,Gen.G,13.0,TenZ,SEN,yoru,1.02,213.0,1.053,,137.0,20.0,19.0,2.0,Playoffs
Champions Tour North America Stage 3: Challengers 1,"Main Event: 
						Upper Quarterfinals",25196,"Thursday, July 8th 4:45 PM PDT",Icebox,Sentinels,13.0,Gen.G,7.0,TenZ,SEN,raze,1.41,310.0,1.846,,188.0,24.0,13.0,3.0,Playoffs
Champions Tour North America Stage 3: Challengers 1,"Main Event: 
						Upper Quarterfinals",25196,"Thursday, July 8th 4:45 PM PDT",Haven,Sentinels,13.0,Gen.G,9.0,TenZ,SEN,jett,0.84,216.0,0.941,,116.0,16.0,17.0,3.0,Playoffs
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28722,"Thursday, July 22nd 3:05 AM PDT",Bind,Icicle Conflict,13.0,Gaming Team SELECTOR,11.0,MrTenzouEz,GTS,skye,0.8,170.0,0.833,,108.0,15.0,18.0,3.0,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28722,"Thursday, July 22nd 3:05 AM PDT",Icebox,Icicle Conflict,2.0,Gaming Team SELECTOR,13.0,MrTenzouEz,GTS,sage,1.01,183.0,1.222,,128.0,11.0,9.0,2.0,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28721,"Thursday, July 22nd 1:00 AM PDT",Haven,Feeling,13.0,Gaming Team SELECTOR,10.0,MrTenzouEz,GTS,skye,0.75,149.0,0.765,,100.0,13.0,17.0,5.0,Regular Season
Champions Tour Japan Stage 3: Challengers 2,"Main Event: 
						Group A",28721,"Thursday, July 22nd 1:00 AM PDT",Split,Feeling,13.0,Gaming Team SELECTOR,1.0,MrTenzouEz,GTS,skye,0.2,104.0,0.286,,59.0,4.0,14.0,1.0,Regular Season
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Round 1",438164,"Thursday, January 30th 1:20 AM PST",Haven,Sengoku Gaming,10.0,FENNEL,13.0,MrTenzouEz,FL,sova,0.85,163.0,0.938,,107.0,15.0,16.0,5.0,Regular Season
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Round 1",438164,"Thursday, January 30th 1:20 AM PST",Split,Sengoku Gaming,13.0,FENNEL,10.0,MrTenzouEz,FL,tejo,0.83,165.0,0.765,,108.0,13.0,17.0,6.0,Regular Season
Challengers 2025: Japan Split 1,"Main Stage: 
						Upper Round 1",438164,"Thursday, January 30th 1:20 AM PST",Abyss,Sengoku Gaming,7.0,FENNEL,13.0,MrTenzouEz,FL,sova,1.65,233.0,2.111,,153.0,19.0,9.0,6.0,Regular Season
Red Bull Home Ground,"Main Event: 
						Quarterfinals",9105,"Thursday, January 28th 4:00 AM PST",Split,Ninjas in Pyjamas,9.0,FUT Esports,13.0,Ex6TenZ,NIP,breach,,143.0,0.8,,94.0,12.0,15.0,5.0,Playoffs
Red Bull Home Ground,"Main Event: 
						Quarterfinals",9105,"Thursday, January 28th 4:00 AM PST",Ascent,Ninjas in Pyjamas,13.0,FUT Esports,5.0,Ex6TenZ,NIP,breach,,229.0,1.4,,135.0,14.0,10.0,9.0,Playoffs
Red Bull Home Ground,"Main Event: 
						Quarterfinals",9105,"Thursday, January 28th 4:00 AM PST",Haven,Ninjas in Pyjamas,13.0,FUT Esports,10.0,Ex6TenZ,NIP,breach,,175.0,1.0,,97.0,14.0,14.0,4.0,Playoffs
Red Bull Home Ground,"Main Event: 
						Quarterfinals",9105,"Thursday, January 28th 4:00 AM PST",Icebox,Ninjas in Pyjamas,13.0,FUT Esports,11.0,Ex6TenZ,NIP,breach,,182.0,0.833,,115.0,15.0,18.0,11.0,Playoffs
Champions Tour North America: Last Chance Qualifier,"Main Event: 
						Upper Quarterfinals",123322,"Thursday, August 4th 1:00 PM PDT",Breeze,The Guard,13.0,Sentinels,15.0,TenZ,SEN,chamber,0.8,181.0,0.864,,121.0,19.0,22.0,2.0,Playoffs
Champions Tour North America: Last Chance Qualifier,"Main Event: 
						Upper Quarterfinals",123322,"Thursday, August 4th 1:00 PM PDT",Ascent,The Guard,13.0,Sentinels,10.0,TenZ,SEN,chamber,1.03,222.0,1.118,,148.0,19.0,17.0,2.0,Playoffs
Champions Tour North America: Last Chance Qualifier,"Main Event: 
						Upper Quarterfinals",123322,"Thursday, August 4th 1:00 PM PDT",Icebox,The Guard,15.0,Sentinels,13.0,TenZ,SEN,chamber,0.97,211.0,1.0,,131.0,22.0,22.0,3.0,Playoffs
Pop Flash Invitational,"Tournament: 
						Winner's (A)",2071,"Thursday, August 27th 3:20 PM PDT",Haven,Dignitas,1.0,Cloud9,13.0,TenZ,C9,reyna,,307.0,2.667,,157.0,16.0,6.0,7.0,Regular Season
Pop Flash Invitational,"Tournament: 
						Winner's (A)",2071,"Thursday, August 27th 3:20 PM PDT",Ascent,Dignitas,7.0,Cloud9,13.0,TenZ,C9,reyna,,194.0,0.812,,162.0,13.0,16.0,6.0,Regular Season
